GDPDeflat,CPIRate,PCEDRate,UnemployRate,ECI,InflationRate,FedFundsRate
46.05,77.8,43.959,7.1,34.3,14.8,17.19
49.86,87,47.831,7.6,37.9,10.5,14.7
52.48,94.3,50.48,9.7,40.2,6.8,14.68
54.22,97.8,52.653,9.6,42.7,3.6,8.77
56.08,101.9,54.645,7.5,45.2,4.8,9.91
57.74,105.5,56.582,7.2,47.3,3.7,8.58
58.81,109.6,57.806,7,49.1,2.3,7.48
60.57,111.2,59.65,6.2,50.6,3,6.13
62.86,115.7,61.974,5.5,52.6,3.9,6.58
65.12,121.1,64.641,5.3,55.1,5,9.85
67.62,127.4,67.44,5.6,57.9,5.2,8.28
69.64,134.6,69.652,6.8,60.4,4.9,6.12
71.2,138.1,71.494,7.5,62.9,3.2,3.98
72.85,142.6,73.279,6.9,65.1,3.1,3.07
74.38,146.2,74.803,6.1,67.2,2.5,3.34
75.86,150.3,76.356,5.6,69.2,2.9,5.98
77.17,154.4,77.981,5.4,71.1,2.8,5.31
78.39,159.1,79.327,4.9,73.1,2.8,5.39
79.23,161.6,79.936,4.5,75.6,1.4,5.49
80.55,164.3,81.11,4.2,77.9,1.7,4.81
82.59,168.8,83.131,4,81.3,3.8,5.85
84.23,175.1,84.736,4.7,84.7,2.9,5.31
85.65,177.1,85.873,5.8,88,1.5,1.73
87.35,181.7,87.572,6,91.5,3,1.25
90.05,185.2,89.703,5.5,95,1.7,1
93.1,190.7,92.261,5.1,98,3.1,2.63
