GDPDeflat,CPIRate,UnemployRate,InflationRate,PCED,FedFundsRate,RateChange,RateChangeInd
96.65,205.4,4.5,2.5,96.008,5.26,,1
97.19,208.4,4.7,2.2,96.771,5.25,-0.01,0
97.53,208.5,4.5,2.1,97.319,4.94,-0.31,0
97.96,210,4.8,2.4,98.296,4.24,-0.7,0
98.52,213.5,5.2,2.4,99.139,2.61,-1.63,0
98.99,218.8,5.7,2.4,100.177,2,-0.61,0
99.67,218.783,6,2.5,101.197,1.81,-0.19,0
99.81,210.228,7.1,1.8,99.746,0.16,-1.65,0
100.06,212.709,9,1.8,99.182,0.18,0.02,1
99.89,215.693,9.7,1.7,99.626,0.21,0.03,1
99.87,215.969,9.5,1.5,100.253,0.15,-0.06,0
100.17,215.949,9.7,1.8,100.936,0.12,-0.03,0
100.52,217.631,10.2,1.1,101.279,0.16,0.04,1
100.97,217.965,9.6,0.9,101.393,0.18,0.02,1
101.43,218.439,9.2,0.8,101.693,0.19,0.01,1
101.95,219.179,9.1,0.8,102.233,0.18,-0.01,0
102.4,223.467,9.2,1.2,102.999,0.14,-0.04,0
103.14,225.722,9.3,1.6,104.041,0.09,-0.05,0
103.77,226.889,8.8,2,104.593,0.08,-0.01,0
103.92,225.672,8.3,2.2,104.954,0.07,-0.01,0
104.47,229.392,8.4,2.3,105.561,0.13,0.06,1
104.94,229.478,8.4,2.2,105.884,0.16,0.03,1
105.51,231.407,7.6,2,106.231,0.14,-0.02,0
105.93,229.601,7.6,1.9,106.803,0.16,0.02,1
106.35,232.773,7.6,1.9,107.183,0.14,-0.02,0
106.57,233.504,7.8,1.6,107.227,0.09,-0.05,0
107.08,234.149,7,1.7,107.623,0.08,-0.01,0
107.64,233.049,6.5,1.7,108.086,0.09,0.01,1
108.08,236.293,6.8,1.7,108.651,0.08,-0.01,0
108.69,238.343,6.3,1.9,109.133,0.1,0.02,1
109.19,238.031,5.7,1.7,109.453,0.09,-0.01,0
109.34,234.812,5.4,1.6,109.381,0.12,0.03,1
109.33,236.119,5.6,1.8,108.944,0.11,-0.01,0
109.92,238.638,5.5,1.8,109.407,0.13,0.02,1
110.29,237.945,4.9,1.9,109.759,0.14,0.01,1
110.51,236.525,4.8,2.1,109.804,0.24,0.1,1
110.58,238.132,5.1,2.2,109.981,0.36,0.12,1
111.25,241.038,5.1,2.2,110.55,0.38,0.02,1
111.63,241.428,4.8,2.2,111.029,0.4,0.02,1
112.19,241.432,4.5,2.2,111.577,0.54,0.14,1
112.75,243.801,4.6,2,112.192,0.79,0.25,1
113.03,244.955,4.5,1.7,112.268,1.04,0.25,1
113.61,246.819,4.1,1.7,112.693,1.15,0.11,1
114.27,246.524,3.9,1.8,113.453,1.3,0.15,1
114.9,249.554,4.1,2.1,114.162,1.51,0.21,1
